Key,english
plantBlackBerry03,Blackberry Plant 03
plantBlackBerry04,Blackberry Plant 04
plantBlackBerry05,Blackberry Plant 05
plantFern00,Fern Plant 00
plantFern01,Fern Plant 01
plantFern02,Fern Plant 02
plantFern03,Fern Plant 03
plantIvy00,Ivy Plant 00
plantIvy01,Ivy Plant 01
plantIvy02,Ivy Plant 02
plantLilly00,Lilly Plant 00
plantLilly01,Lilly Plant 01
plantGalinsoga00,Galinsoga Plant 00
plantGalinsoga01,Galinsoga Plant 01
plantGalinsoga02,Galinsoga Plant 02
plantLeaves00,Leaves 00
plantLeaves01,Leaves 01
plantLeaves02,Leaves 02
plantLeaves03,Leaves 03
plantLeaves04,Leaves 04
plantLeaves05,Leaves 05
plantMoss00,Moss 00
plantMoss01,Moss 01
boulderResource00,Resource Boulder 00
boulderResource01,Resource Boulder 01
boulderResource02,Resource Boulder 02
boulderResource03,Resource Boulder 03
boulderResource04,Resource Boulder 04
boulderResource05,Resource Boulder 05
boulderResource06,Resource Boulder 06
boulderResource07,Resource Boulder 07
boulderResource08,Resource Boulder 08
boulderResource09,Resource Boulder 09
rockSmallResource00,Small Rock 00
rockSmallResource01,Small Rock 01
rockSmallResource02,Small Rock 02
rockSmallResource03,Small Rock 03
branch00,Branch 00
branch01,Branch 01
branch02,Branch 02
branch03,Branch 03
branch04,Branch 04
branch05,Branch 05
branch06,Branch 06
branch07,Branch 07
branch08,Branch 08
treeStump00,Tree Stump 00
treeStump01,Tree Stump 01
treeStump02,Tree Stump 02
treeStump03,Tree Stump 03
treeStump04,Tree Stump 04
decoRoadRandomHelper,Deco Road Random Helper
treeLog00,Tree Log 00
treeLog01,Tree Log 01
cntBarrelGroupDesc,Barrels can be looted and will explode if hit by enemies or destroyed by tools without harvest tags such as guns.\nThe player may catch an AOE debuff based on the barrel type.
decoPumpkinJackOLanternDesc,A must-have for scaring those enemies right back.
fakeCabinetDoorTrapGroupDesc,Enemies can see through this block. The intended use is that a hidden enemy can see the player and bust out of a closet.
fencesGroupDesc,Fences and railings can keep the neighbors out. Still useful for not falling from high places.
fabricator,Fabricator
fabricatorDesc,Synthesises organic material into useable items over time.\n\nRepair with Forged Iron.
bladeTrapDesc,Used to dismantle enemies into many pieces.\n\nRepair with Forged Steel.
mineAirFilterDesc,Place mine and step back carefully. Turns robots into scrap metal!
mineEMP,EMP Mine
mineEMPDesc,Generates an electro-magnetic pulse disabling nearby enemies for a short period of time. Also disables weapons on mechs for a short period of time.
forgeDesc,"Used to smelt metals to craft tools and weapons or stone to craft cement. Install tools to increase performance or unlock recipes.\n\nRepair with Scrap Iron."
plantedCropsGroupDesc,Plant these seeds on a Farm Plot or fertile land to grow plants for you to harvest.
burningBarrelPlayerDesc,Open flames provide some heat when nearby. Has no effect on the heat map.
xuiTargetZombies,Target Enemies
xuiZombieKills,Enemy Kills
xuiRoboticAnimals,Robotic Animals
xuiEnemies,Enemies
xuiRobots,Robots
xuiOverchargedRobots,Overcharged Robots
xuiRadiatedRobots,Radiated Robots
xuiInfernoRobots,Inferno Robots
xuiShockerRobots,Shocker Robots
xuiSpiderBots,Spider Bots
xuiRobotDogs,Robot Dogs
xuiDrones,Drones
xuiDroids,Droids
xuiMechs,Mechs
xuiForgeAheadMagazine,Forge Ahead Magazine
statCraftingSmeltTimeBlastFurnace,Blast Furnace Smelting Speed
statCraftingTimeBlastFurnace,Blast Furnace Crafting Speed
statNausea,Nausea Chance
statHealthLoss,Damage Resist
statBurnAOERadius,Burn AOE Radius (m)
statFoodPoisoningRisk,Food Poisoning
statCureRadiationSickness,Cure Radiation Sickness
statCureNausea,Cure Nausea
statEmpath,Empath
statCybernetician,Cybernetician
statCosmotech,Cosmotech
statExomedic,Exomedic
statMiner69r,Miner 69'er
statNeonaut,Neonaut
statEntityDamageShock,Shock Damage
statNerdDamage,Robotic/Baton Weapon Damage
buffNauseaName,Nausea
buffNauseaDesc,You feel nauseous after consuming too many drugs.\nUse vitamins to cure this.\n\nYour max health and stamina are lowered by 25%. All attributes are lowered by 2.
buffFlaregunAirdropName,Incoming Airdrop
buffFlaregunAirdropDesc,"An airdrop is enroute to your location, keep an eye on the sky."
buffFlaregunAirdropTooltip,You have an incoming airdrop.
buffRadiation02UntreatedName,Acute Radiation Sickness
buffRadiation02UntreatedDesc,You have acute radiation sickness. If left untreated it could lead to severe acute radiation sickness which can cause death.\n\nStamina Regeneration -25%
buffRadiation03UntreatedName,Severe Acute Radiation Sickness
buffRadiation03UntreatedDesc,You have life threatening severe acute radiation sickness. Take medication immediately.\n\nStamina Regeneration -35%\nAll Attributes -1
buffRadiationProtectionName,Radiation Protection
buffRadiationProtectionDesc,You are protected from further radiation exposure.
buffRadiationSourceName,Harmful Radiation Source
buffRadiationSourceDesc,"You are exposed to a harmful radiation source, your radiation level will increase rapidly over time."
buffRadiationSourceTooltip,You are exposed to a harmful radiation source!
buffAcidRainName,Radioactive Acid Rain
buffAcidRainDesc,"You are exposed to radioactive acid rain, find shelter as soon as possible to avoid harmful radiation exposure."
buffAcidRainTooltip,"You are exposed to radioactive acid rain, find shelter as soon as possible!"
buffHeadShotsOnlyDesc,Don't you watch any alien movies? Aim for the head! It's the only way to be sure.
buffWeaponOverheatCooldownName,Weapon Overheated
buffWeaponOverheatCooldownDesc,Your weapon has overhated and will need to cooldown before it can be used again.
buffWeaponOverheatCooldownTooltip,Your weapon has overheated!
buffInfection01GetBetterDesc,You have a treated mild infection. Continue medication until infection is cleared up.\nGetting hit by zombies will make an infection worse.
buffInfection01UntreatedDesc,You have a mild infection.\nIt will get worse until treated by antibiotics.\nGetting hit by zombies will make an infection worse.
buffInfection02GetBetterDesc,You have a treated serious infection. Continue medication and keep an eye on the wound.\nGetting hit by zombies will make an infection worse.\n\nStamina Regeneration -12.5%
buffInfection02UntreatedDesc,You have a serious infection. If left untreated it could lead to severe infection which can cause death. Take antibiotics as soon as possible.\nGetting hit by zombies will make an infection worse.\n\nStamina Regeneration -25%
drugAntiRadiation,Anti-Radiation Pills
drugAntiRadiationDesc,Anti-Radiation Pills can lower your radiation exposure and cure acute radiation sickness. It also protects you from further radiation exposure for some time\n\nCan be crafted in a beaker at a campfire.
drugAdvancedAntiRadiation,Advanced Anti-Radiation Pills
drugAdvancedAntiRadiationDesc,Advanced Anti-Radiation Pills completely remove any radiation exposure and cure acute radiation sickness. It also protects you from further radiation exposure for several days\n\nCan be crafted at a chemistry station.
drugDevRadiation,Radiation Tester
drugDevRadiationDesc,A radiation dev drug that increases your radiation amount.
drugVitaminsDesc,"These vitamins cure Nausea and Fatigue, and prevent you from catching ailments like Infection, Dysentery, Nausea or Fatigue."
foodEggRotten,Rotten Egg
foodEggRottenDesc,Rotten Eggs smell awful. You probably shouldn't eat this thing.
drinkJarEmpty,Empty Water Jar
drinkJarEmptyDesc,An empty glass jar can be filled at water sources using the secondary action or used in other recipes.
torchPlayerGroupDesc,Open flames and flickering lights like with torches (less so with candles) will attract unwanted attention.
lanternLight_playerDesc,This oil powered lantern will provide light without the flickering that tends to attract unwanted attention.
candleDesc,A candle can be carried as a light source or placed on walls. This might attract unwanted attention.
toolBustlePipe,Bustle Pipe
toolBustlePipeDesc,A tool that can be installed in a Blast Furnace. It increases air flow and so the smelting speed of the furnace.
toolPreHeater,Pre Heater
toolPreHeaterDesc,A tool that can be installed in a Blast Furnace. It increases the crafting speed of that furnace.
resourceCobalt,Raw Cobalt
resourceCobaltDesc,"A core resource for crafting, forging, repairing & upgrading walls. Much stronger than steel."
resourceForgedCobalt,Forged Cobalt
resourceForgedCobaltDesc,Can be crafted at the blast furnace after installing a crucible upgrade. Cobalt is used to make the strongest items.
resourceCharcoal,Charcoal
resourceCharcoalDesc,Charcoal can be made by burning wood in a campfire. A key ingredient in making flare rounds.
resourceNanoChip,Nano Chip
resourceNanoChipDesc,A small computer chip. Used in the creation of high tech equipment.
resourceFertilizerCell,Fertilizer Cell
resourceFertilizerCellDesc,Fertilizer cells are used with the farming multitool to create fertile land for farming using the secondary action [action:local:Secondary].
resourceBoneDesc,An ordinary bone from an extinct species. Probabaly.
resourceRockSmallDesc,"Used in many recipes including stone axes and campfires. Can be thrown to distract enemies & are a core forging resource."
resourceSnowBallDesc,You know what to do! Turn it into first rate Yucca Juice Smoothie of course.\nCan  be thrown to distract enemies.
resourceFeatherDesc,Feathers are primarily found in bird nests or crafted in the fabricator. They can be used to craft arrows and crossbow bolts.
resourceCobaltBundle,Stack of Raw Cobalt (6000)
resourceCobaltBundleDesc,This is a compact stack of raw cobalt. Use this item to open and unpack it.
resourceClayLumpBundle,Stack of Clay Soil (6000)
resourceClayLumpBundleDesc,This is a compact stack of clay soil. Use this item to open and unpack it.
resourceCrushedSandBundle,Stack of Crushed Sand (6000)
resourceCrushedSandBundleDesc,This is a compact stack of crushed sand. Use this item to open and unpack it.
gunBowT0PrimitiveBowDesc,Good for sneaking and killing enemies from a distance. Uses arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with Wood.\nScrap to Wood.
gunBowT1WoodenBowDesc,Good for sneaking and killing enemies from a distance. Uses arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with a Repair Kit.\nScrap to Bow / Crossbow Parts.
gunHandgunT1Flaregun,Emergency Flare Gun
gunHandgunT1FlaregunDesc,An emergency flare gun that has a 30% chance to spawn an airdrop when fired outdoors. Airdrops will not be sent during Horde Night. Beware it may also attract unwanted attention.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.
gunHandgunFarmT1LaserFarmingTool,Farming Multitool
gunHandgunFarmT1LaserFarmingToolDesc,Clear grass with the primary action [action:local:Primary]. \n\nFertilize land with the secondary action [action:local:Secondary] Fertilizer Cells are required.\n\nRepair with a Repair Kit.\nScrap to Motor Tool parts.
gunMGT2LaserAssaultRifle,Laser Assault Rifle
gunMGT2LaserAssaultRifleDesc,This Laser Assault Rifle uses heavy energy cells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.
gunRifleT2LaserSniperRifle,Laser Sniper Rifle
gunRifleT2LaserSniperRifleDesc,"This high precision, long ranged rifle is perfect for sniping enemies at great distances.\n\nRepair with a Repair Kit.\nScrap to Rifle parts."
gunHandgunT2LaserPistol,Laser Pistol
gunHandgunT2LaserPistolDesc,A heavy duty pistol that uses nano energy cells.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.
gunHandgunT2LaserSMG,Laser SMG
gunHandgunT2LaserSMGDesc,This submachine gun uses nano energy cells.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.
gunShotgunT2LaserShotgun,Laser Shotgun
gunShotgunT2LaserShotgunDesc,This semi automatic shotgun is a rare and devasting short range weapon capable of frying anything in its path.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.,
gunHandgunT2LaserMagnum,Laser Revolver
gunHandgunT2LaserMagnumDesc,This heavy pistol uses nano energy cells.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.
gunHandgunT3PlasmaPistol,Plasma Pistol
gunHandgunT3PlasmaPistolDesc,This pistol uses nano energy cells.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.
gunHandgunT3PlasmaMagnum,Plasma Revolver
gunHandgunT3PlasmaMagnumDesc,The Plasma Revolver is the king of handguns. It's the most powerful but makes the most noise. It uses nano energy cells.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.
gunShotgunT3PlasmaShotgun,Plasma Shotgun
gunShotgunT3PlasmaShotgunDesc,A long-barreled shotgun with pump action loading. It uses shotgun energy cells.\n\nRepair with a Repair Kit.\nScrap to Shotgun Parts.
gunHandgunT3PlasmaSMG,Plasma SMG
gunHandgunT3PlasmaSMGDesc,This submachine gun uses nano energy cells.\n\nRepair with a Repair Kit.\nScrap to Handgun Parts.
gunMGT3PlasmaAssaultRifle,Plasma Assault Rifle
gunMGT3PlasmaAssaultRifleDesc,This Plasma Assault Rifle uses heavy energy cells.\n\nRepair with a Repair Kit.\nScrap to Machine Gun Parts.
gunRifleT3PlasmaSniperRifle,Plasma Sniper Rifle
gunRifleT3PlasmaSniperRifleDesc,"This high precision, long ranged rifle is perfect for sniping enemies at great distances.\n\nRepair with a Repair Kit.\nScrap to Rifle parts."
gunExplosivesT3PlasmaGrenadeLauncher,Plasma Grenade Launcher
gunExplosivesT3PlasmaGrenadeLauncherDesc,A Plasma Grenade Launcher shoots grenade energy cells.\n\nRepair with a Repair Kit.\nScrap to Launcher Parts.
gunExplosivesT3PlasmaRocketLauncher,Plasma Rocket Launcher
gunExplosivesT3PlasmaRocketLauncherDesc,A Plasma Rocket Launcher shoots rocket energy cells.\n\nRepair with a Repair Kit.\nScrap to Launcher Parts.
gunHandgunPistolDev,Dev: Instant Death Nearby Pistol
gunHandgunPistolDevDesc,A dev pistol that kills all nearby enemies when fired.
ammoFlareRound,Flare Round (Ammo)
ammoFlareRoundDesc,A flare round that has a 30% chance to spawn an airdrop when fired outdoors. Airdrops will not be sent during Horde Night. Beware it may also attract unwanted attention. Can be crafted at a workbench.
ammoNanoEnergyCell,Nano Energy Cell (Ammo)
ammoNanoEnergyCellDesc,Nano energy cells are used as firearm ammunition in handguns. Can be crafted at a workbench.\nCrafts in stacks of 5.
ammoHeavyEnergyCell,Heavy Energy Cell (Ammo)
ammoHeavyEnergyCellDesc,Heavy energy cells are used as firearm ammunition in rifles and machine guns. Can be crafted at a workbench.\nCrafts in stacks of 5.
ammoShotgunEnergyCell,Shotgun Energy Cell (Ammo)
ammoShotgunEnergyCellDesc,Shotgun energy cells are used as firearm ammunition in shotguns. Can be crafted at a workbench.\nCrafts in stacks of 5.
ammoNanoEnergyCellAP,AP Nano Energy Cell (Ammo)
ammoNanoEnergyCellAPDesc,Armor piercing ammunition works especially well against armored targets but puts a bit more stress on the gun. It can penetrate one enemy or one block of up to 250 hit points to also damage the enemy standing behind it.\nCrafts in stacks of 5.
ammoHeavyEnergyCellAP,AP Heavy Energy Cell (Ammo)
ammoHeavyEnergyCellAPDesc,Armor piercing ammunition works especially well against armored targets but puts a bit more stress on the gun. It can penetrate one enemy or one block of up to 250 hit points to also damage the enemy standing behind it.\nCrafts in stacks of 5.
ammoShotgunEnergyCellAP,AP Shotgun Energy Cell (Ammo)
ammoShotgunEnergyCellAPDesc,Armor piercing shotgun ammo that fires a single projectile.\nDamage falls off rapidly beyond the effective range.\nHold reload to use alternate ammo.\nCrafts in stacks of 5.
ammoGrenadeEnergyCell,Grenade Energy Cell (Ammo)
ammoGrenadeEnergyCellDesc,Grenade energy cells are used as firearm ammunition in grenade launchers. Can be crafted at a workbench.\nCrafts in stacks of 5.
ammoRocketEnergyCell,Rocket Energy Cell (Ammo)
ammoRocketEnergyCellDesc,Rocket energy cells are used as firearm ammunition in rocket launchers. Can be crafted at a workbench.\nCrafts in stacks of 5.
thrownGrenadeEMP,EMP Grenade
thrownGrenadeEMPDesc,Pull pin. Throw. Generates an electro-magnetic pulse disabling nearby enemies for a short period of time. Also disables weapons on mechs for a short period of time. \nArm with [action:local:Secondary]\nThrow with [action:local:Primary]
thrownTimedChargeDesc,"A shaped charge designed for delicate work like blowing off a safe or door lock. Automatically detonates after 5 seconds. Want to bring the house down? Try some dynamite instead.\nArm with [action:local:Secondary]\nThrow with [action:local:Primary]"
ammoBundleNanoEnergyCell,Box of Nano Energy Cell Ammo (100)
ammoBundleNanoEnergyCellAP,Box of AP Nano Energy Cell Ammo (100)
ammoBundleHeavyEnergyCell,Box of Heavy Energy Cell Ammo (100)
ammoBundleHeavyEnergyCellAP,Box of AP Heavy Energy Cell Ammo (100)
ammoBundleShotgunEnergyCell,Box of Shotgun Energy Cell Ammo (100)
ammoBundleShotgunEnergyCellAP,Box of AP Shotgun Energy Cell Ammo (100)
meleeWpnClubT2LaserClub,Laser Club
meleeWpnClubT2LaserClubDesc,Laser clubs are very durable and hard-hitting.\n\nRepair with a Repair Kit.\nScrap to Club Parts.
meleeWpnBladeT2LaserKnife,Laser Knife
meleeWpnBladeT2LaserKnifeDesc,Great for harvesting plants and small trees.\nRepair with a Repair Kit.\nScrap to Blade Parts.
meleeWpnSledgeT2LaserSledgehammer,Laser Sledgehammer
meleeWpnSledgeT2LaserSledgehammerDesc,The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with a Repair Kit.\nScrap to Sledgehammer Parts.
meleeWpnBladeT2LaserSword,Laser Sword
meleeWpnBladeT2LaserSwordDesc,Great for harvesting plants and slashing enemies.\nRepair with a Repair Kit.\nScrap to Blade Parts.
meleeWpnBatonT2LaserStunBaton,Laser Stun Baton
meleeWpnBatonT2LaserStunBatonDesc,Goes zap.\n\nRepair with a Repair Kit.\nScrap to Stun Baton parts.
meleeWpnSpearT2LaserSpear,Laser Spear
meleeWpnSpearT2LaserSpearDesc,Spears have more range than other melee weapons.\nRepair with a Repair Kit.\nScrap to Spear Parts.
meleeWpnClubT3PlasmaClub,Plasma Club
meleeWpnClubT3PlasmaClubDesc,Plasma clubs are durable and hard-hitting.\n\nRepair with a Repair Kit.\nScrap to Club Parts.
meleeWpnBladeT3PlasmaKnife,Plasma Knife
meleeWpnBladeT3PlasmaKnifeDesc,Great for harvesting plants and small trees.\nRepair with a Repair Kit.\nScrap to Iron.
meleeWpnSledgeT3PlasmaSledgehammer,Plasma Sledgehammer
meleeWpnSledgeT3PlasmaSledgehammerDesc,The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with a Repair Kit.\nScrap to Iron.
meleeWpnBladeT3PlasmaSword,Plasma Sword
meleeWpnBladeT3PlasmaSwordDesc,Great for harvesting plants and slashing enemies.\nRepair with a Repair Kit.\nScrap to Blade Parts.
meleeWpnBatonT3PlasmaBaton,Plasma Stun Baton
meleeWpnBatonT3PlasmaBatonDesc,Goes zap.\n\nRepair with a Repair Kit.\nScrap to Stun Baton parts.,
meleeWpnSpearT3PlasmaSpear,Plasma Spear
meleeWpnSpearT3PlasmaSpearDesc,Spears have more range than other melee weapons.\n\nRepair with a Repair Kit.\nScrap to Iron.
meleeToolAxeT3PlasmaFireaxe,Plasma Fireaxe
meleeToolAxeT3PlasmaFireaxeDesc,The plasma fireaxe is great for harvesting wood.\n\nRepair with a Repair Kit.\nScrap to Tool Parts.
meleeToolPickT3PlasmaPickaxe,Plasma Pickaxe
meleeToolPickT3PlasmaPickaxeDesc,The plasma pickaxe is great for breaking stone and harvesting minerals.\n\nRepair with a Repair Kit.\nScrap to Tool Parts.
meleeToolShovelT3PlasmaShovel,Plasma Shovel
meleeToolShovelT3PlasmaShovelDesc,"The plasma shovel is fairly durable and great for digging through earth, sand, snow and ore.\n\nRepair with a Repair Kit.\nScrap to Tool Parts."
meleeToolPickT3PlasmaMiningTool,Plasma Mining Gun
meleeToolPickT3PlasmaMiningToolDesc,"The plasma mining gun is the ultimate all in one tool for mining ore and harvesting wood.\n\nRepair with a Repair Kit.\nScrap to Motor Tool Parts."
meleeWpnBladeT0BoneKnifeDesc,This primitive makeshift weapon is useful for harvesting plants.\nRegular attacks cause 1 Mechanical Wound and power attacks at least 2.\nRepair with Bone.\nScrap to Bone.
meleeWpnBladeT1HuntingKnife,Iron Knife
meleeWpnBladeT1HuntingKnifeDesc,Great for harvesting plants and slashing enemies.\nRegular attacks cause 1 Mechanical Wound and power attacks at least 2.\nRepair with a Repair Kit.\nScrap to Iron.
meleeWpnBladeT1CandyKnifeDesc,Time to get into a festive and stabby mood!\nRegular attacks cause 1 Mechanical Wound and power attacks at least 2.\n\nRepair with a Repair Kit.
meleeWpnBladeT3MacheteDesc,Great for slashing enemies and harvesting plants.\nRegular attacks cause 1 Mechanical Wound and power attacks at least 2.\nRepair with a Repair Kit.\nScrap to Blade Parts.
meleeToolTorchDesc,This torch can be used as a light source or weapon with a chance to catch enemies on fire. Place with secondary action. May attract unwanted attention.
gunExplosivesT3RocketLauncherParts,Launcher Parts
meleeWpnBladeT3MacheteParts,Blade Parts
meleeWpnSpearT3SteelSpearParts,Spear Parts
meleeWpnClubT3SteelClubParts,Club Parts
meleeWpnKnucklesT3SteelKnucklesParts,Knuckle Parts
meleeWpnSledgeT3SteelSledgehammerParts,Sledgehammer Parts
meleeToolAllSteelParts,Tool Parts
vehicleMuscleCarPlaceable,Muscle Car
vehicleMuscleCarChassis,Muscle Car Chassis
vehiclePickupTruckPlaceable,Pickup Truck
vehiclePickupTruckChassis,Pickup Truck Chassis
vehicleLuxurySedanPlaceable,Luxury Sedan
vehicleLuxurySedanChassis,Luxury Sedan Chassis
vehicleHoverCarPlaceable,Hover Car
vehicleHoverCarChassis,Hover Car Chassis
armorNerdGlovesDesc,Heavy Armor\nProtect those cold clammy soft hands from the elements and become an intellectual badass. Deal more damage with robotic weapons and stun batons.\n\nFull Set Bonus: Tools and Weapons degrade slower.
foodShamChowderDesc,Sham Chowder tastes great and grows chest hair!
resourceTestosteroneExtract,Synthesized Testosterone
resourceTestosteroneExtractDesc,An artificial compound used to create steroids.
attuniversalperks,Universal Perks
attUniversalPerksName,Universal Perks
attUniversalPerksDesc,Universal perks contain a wide variety of skills that one can learn.
attUniversalPerksRank1Desc,Rank 1
attUniversalPerksRank2Desc,Rank 2
attUniversalPerksRank3Desc,Rank 3
attUniversalPerksRank4Desc,Rank 4
attUniversalPerksRank5Desc,Rank 5
attempath,Empath
attEmpathName,Empath
attEmpathDesc,The Empath is widely known as an intellectual for their mental ability and charismatic nature. Increasing Empath improves headshot damage with empath governed weapons such as rifles and stun batons.
attEmpathRank1Desc,Rank 1
attEmpathRank2Desc,Rank 2
attEmpathRank3Desc,Rank 3
attEmpathRank4Desc,Rank 4
attEmpathRank5Desc,Rank 5
attcybernetician,Cybernetician
attCyberneticianName,Cybernetician
attCyberneticianDesc,The cybernetician specializes in the manufacture and repair of heavy duty weapons and robots. Increasing Cybernetician improves headshot damage with cybernetician governed weapons such as machine guns and knuckles.
attCyberneticianRank1Desc,Rank 1
attCyberneticianRank2Desc,Rank 2
attCyberneticianRank3Desc,Rank 3
attCyberneticianRank4Desc,Rank 4
attCyberneticianRank5Desc,Rank 5
attcosmotech,Cosmotech
attCosmotechName,Cosmotech
attCosmotechDesc,The cosmotech specializes in the repair and creation of vehicles and salvage of materials. Increasing Cosmotech improves headshot damage with cosmotech governed weapons such as clubs and shotguns.
attCosmotechRank01Desc,Rank 1
attCosmotechRank02Desc,Rank 2
attCosmotechRank03Desc,Rank 3
attCosmotechRank04Desc,Rank 4
attCosmotechRank05Desc,Rank 5
attexomedic,Exomedic
attExomedicName,Exomedic
attExomedicDesc,The exomedic specializes in fitness and treating injuries. Increasing Exomedic improves headshot damage with exomedic governed weapons such as blades and handguns. 
attExomedicRank01Desc,Rank 1
attExomedicRank02Desc,Rank 2
attExomedicRank03Desc,Rank 3
attExomedicRank04Desc,Rank 4
attExomedicRank05Desc,Rank 5
attastrominer,Astrominer
attAstrominerName,Astrominer
attAstrominerDesc,The astrominer specializes in mining and resource extraction. Increasing Astrominer improves headshot damage with astrominer governed weapons such as sledgehammers and explosives.
attAstrominerRank01Desc,Rank 1
attAstrominerRank02Desc,Rank 2
attAstrominerRank03Desc,Rank 3
attAstrominerRank04Desc,Rank 4
attAstrominerRank05Desc,Rank 5
attneonaut,Neonaut
attNeonautName,Neonaut
attNeonautDesc,The neonaut specializes in multiplanetary exploration and the discovery of new species. Increasing Neonaut improves headshot damage with neonaut governed weapons such as bows and spears.
